2020-11-10 15:17:13.482 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yunhan.admin.AdminApplicationTests], using SpringBootContextLoader
2020-11-10 15:17:13.527 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.yunhan.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-10 15:17:13.532 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.yunhan.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-10 15:17:13.926 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.yunhan.AdminApplication for test class com.yunhan.admin.AdminApplicationTests
2020-11-10 15:17:14.178 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-10 15:17:14.197 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4de4b452, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@50b5ac82, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@101952da, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6babf3bf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3059cbc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7ea9e1e2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@24fcf36f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@10feca44, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3fb1549b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@ea6147e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4d02f94e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2b48a640]
2020-11-10 15:18:39.927 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yunhan.admin.AdminApplicationTests], using SpringBootContextLoader
2020-11-10 15:18:39.948 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.yunhan.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-10 15:18:39.953 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.yunhan.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-10 15:18:40.202 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.yunhan.AdminApplication for test class com.yunhan.admin.AdminApplicationTests
2020-11-10 15:18:40.477 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
